Street,City,propertycard__detailvalue,quartos,banheiros,vagas,price
Rua Capitão Garcindo,Pacaembu,434,5,4,4,20000
Jardim Monte Kemel São Paulo,SP,125,3,4,2,600000
Vila Gomes Cardim São Paulo,SP,384,4,3,5,2014000
Rua Trinta e Um de Março,Fazenda Morumbi,429,4,5,4,1000000
Rua João Álvares Soares,Campo Belo,200,4,6,6,2900000
Rua Elizabeth Trovão Usui,Vila Olímpia,111,3,2,2,1600000
Rua Bernardino Machado,Granja Julieta,893,7,9,4,3920000
Chácara Inglesa São Paulo,SP,90,3,3,2,900000
Santo Amaro São Paulo,SP,270,3,3,3,1650000
Cidade Monções São Paulo,SP,212,4,5,4,1900000
Praça Delgado Arouche,Alto da Mooca,130,3,2,2,750000
Alameda das Quaresmeiras,Chácara Santo Antônio (Zona Sul),308,3,5,6,3500000
Bela Aliança São Paulo,SP,290,3,6,6,2700000
Tremembé São Paulo,SP,450,3,5,5,1760000
Rua Sebastião Cabot,Jardim Guedala,390,3,3,4,3300000
Rua Eva Bloch,Bosque da Saúde,150,4,3,4,1500000
Campo Belo São Paulo,SP,80,2,1,1,430000
Rua Odair Pimentel,Parque dos Príncipes,181,3,6,4,1060000
Alto de Pinheiros São Paulo,SP,450,5,8,5,5500000
Rua Professor Eduardo Monteiro,Jardim Leonor,262,6,8,4,1295000
Rua Jaguari,Bosque da Saúde,242,3,4,1,770000
Lar São Paulo São Paulo,SP,240,3,5,2,5500
Rua Francisco Pessoa,Vila Andrade,165,3,3,2,846000
Rua Teodoro Ramos,Pacaembu,280,3,1,4,2800000
Rua Canto e Melo,Santo Amaro,257,3,4,6,1100000
Jardim Guedala São Paulo,SP,455,4,4,4,10000
Brooklin Paulista São Paulo,SP,330,5,4,4,1703000
Paraíso do Morumbi São Paulo,SP,250,3,5,3,2100000
Jardim Monte Alegre São Paulo,SP,100,2,2,3,330000
Rua Francisco Dias,Bosque da Saúde,280,4,4,6,1200000
Jardim Leonor São Paulo,SP,360,4,5,3,1280000
Vila Tramontano São Paulo,SP,572,6,8,4,2400000
Avenida da Invernada,Vila Congonhas,168,5,2,5,1272000
Rua Macejana,Indianópolis,450,3,5,3,2000000
Avenida Nova Independência,Brooklin Paulista,167,4,2,3,1590000
Rua Lázaro José Gonçalves,Jardim Avelino,400,3,5,6,1950000
Rua Baltar,Vila Califórnia,300,2,3,4,550000
Planalto Paulista São Paulo,SP,242,4,5,4,2790000
Rua Sousa Leão,Mooca,160,3,3,5,1050000
Rua Lourenço Castanho,Vila Nova Conceição,350,4,2,4,4000000
Rua Atlântica,Jardim América,420,4,8,10,9900000
Jardim Leonor São Paulo,SP,593,4,4,5,4900000
Rua Camundo,Planalto Paulista,155,3,2,3,770000
Rua João Bizarro da Nave,Vila Diva (Zona Leste),374,3,2,1,1400000
Planalto Paulista São Paulo,SP,535,4,2,4,4800000
Vila Morumbi São Paulo,SP,495,4,5,2,2100000
Rua Passo da Pátria,Bela Aliança,156,3,3,2,1000000
Rua Eliseu Visconti,Paineiras do Morumbi,660,4,4,6,4300000
Rua Manuel Figueiredo Landim,Jardim Campo Grande,300,4,5,5,1300000
Alameda Álvaro de Morais,Planalto Paulista,208,3,4,1,1400000
Rua Sebastião de Paiva,Vila Leopoldina,154,2,2,3,849000
Jardim Leonor São Paulo,SP,232,3,5,3,2000000
Rua Emboabas,Brooklin Paulista,418,4,5,6,2700000
Rua Polônia,Jardim Europa,486,4,4,3,3190000
Alto de Pinheiros São Paulo,SP,492,3,7,5,4800000
Jardim Luzitânia São Paulo,SP,582,4,5,4,9500000
Rua Tomé Portes,Brooklin Paulista,266,4,5,2,1500000
Rua Estados Unidos,Jardim América,1816,4,10,20,55000000
Jardim Paulista São Paulo,SP,320,4,3,3,4200000
Jardim América São Paulo,SP,600,3,5,5,12250000
Rua Cunha Gago,Pinheiros,100,1,2,1,692000
Rua Alberto Faria,Alto de Pinheiros,300,3,3,4,3300000
Vila Firmiano Pinto São Paulo,SP,97,2,2,1,475000
Vila Inah São Paulo,SP,360,4,6,6,2345000
Avenida Bagiru,Boaçava,425,5,8,4,5700000
Praça Horácio Sabino,Pinheiros,250,4,2,6,4500000
Indianópolis São Paulo,SP,215,3,1,3,1680000
Rua Comendador Elias Zarzur,Santo Amaro,310,3,5,3,2200000
Pinheiros São Paulo,SP,500,4,6,5,9500000
Santo Amaro São Paulo,SP,200,4,1,10,1800000
Vila Madalena São Paulo,SP,340,4,7,4,3180000
Morumbi São Paulo,SP,680,4,6,4,4400000
Jardim Patente São Paulo,SP,177,2,1,2,450000
Pacaembu São Paulo,SP,350,3,3,3,1850000
Avenida Piassanguaba,Planalto Paulista,260,3,4,2,2350000
Rua Visconde de Guilhofrei,Brooklin,90,2,2,2,947000
Avenida Nhandu,Planalto Paulista,280,3,4,2,890000
Vila Clementino São Paulo,SP,160,3,1,6,2400000
Rua Laiana,Boaçava,376,3,6,6,20000
Vila Nova Curuçá São Paulo,SP,107,1,1,1,188682
Rua Sousa Ramos,Vila Mariana,250,3,1,10,2500000
Rua Carlos Petit,Vila Mariana,290,3,1,3,2500000
Sumaré São Paulo,SP,550,3,4,6,3598010
Rua Doutor João Batista de Lacerda,Quarta Parada,150,3,3,4,750000
Jardim Londrina São Paulo,SP,220,3,5,6,950000
Rua Sônia Ribeiro,Brooklin,260,4,6,3,2300000
Rua Luís Gama,Cambuci,320,3,1,6,1200000
Cidade Jardim São Paulo,SP,917,3,6,11,9500000
Rua Inácio Manuel Álvares,Jardim Ester,200,2,3,4,830000
Jardim Paulista São Paulo,SP,700,4,6,3,11000000
Jardim Paulista São Paulo,SP,520,4,6,6,7500000
Rua Escritor Abeguar Bastos,Indianópolis,200,3,5,2,1600000
Rua Laerte Assunção,Jardim Paulistano,400,4,6,5,7000000
Avenida George Saville Dodd,Jardim Guedala,750,5,8,9,7500000
Alto da Lapa São Paulo,SP,250,3,4,6,2000000
Rua Carlos Rodrigues de Barros,Parque Edu Chaves,130,3,5,3,584998
Praça José Pedro Leite Cordeiro,Bela Aliança,300,2,3,6,1645000
Rua Humberto I,Vila Mariana,110,2,2,1,850000
Rua José Osvaldo Ribeiro,Vila Guilhermina,125,3,2,1,585000
Rua Ferrúcio Beneduzzi,Tremembé,103,2,1,2,500000
Rua Acarituba,Santo Amaro,400,4,6,5,3500000
Morumbi São Paulo,SP,900,5,2,8,25000
Rua Caramuru,Saúde,380,9,4,4,3700000
Rua Jacob Maris,Instituto de Previdência,350,3,5,3,980000
Rua Luís Góis,Mirandópolis,100,4,2,3,650000
Travessa Estrela,Conjunto Promorar Raposo Tavares,240,6,5,1,500000
Rua Salto Grande,Sumaré,130,3,2,2,750000
Rua Doutor Nério Nunes,Jardim Germânia,300,3,1,5,800000
Sumarezinho São Paulo,SP,248,4,3,4,20000
Rua Wagih Assad Abdalla,Morumbi,678,4,6,4,10000
Rua Nebraska,Brooklin Novo,240,4,4,6,2950000
Rua João Maria Carmona,Vila Dalila,130,2,2,3,470000
Vila Cordeiro São Paulo,SP,177,3,5,2,1500000
Jardim Paulista São Paulo,SP,1000,5,7,6,16500000
Vila Canero São Paulo,SP,140,2,2,2,480000
Rua Herwis,Vila Ema,160,3,2,4,462770
Rua República do Iraque,Brooklin Paulista,248,3,4,2,2350000
Rua França Carvalho,Alto da Mooca,210,3,3,6,1300000
Avenida Pascoal da Rocha Falcão,Jardim Santa Helena,300,4,4,3,990000
Rua Marina Cintra,Jardim Europa,480,4,5,4,5500000
Rua Batista de Oliveira,Vila Formosa,294,2,1,4,1914000
Vila Morumbi São Paulo,SP,952,4,6,15,30000
Rua Conceição Russomano Pugliese,Vila Indiana,100,2,2,2,1200000
Brooklin Paulista São Paulo,SP,401,4,5,5,1850000
Vila Primavera São Paulo,SP,90,4,3,3,600000
Brooklin Paulista São Paulo,SP,200,3,2,3,1050000
Rua Deputado Fábio Aranha,Pacaembu,447,4,5,4,4000000
Rua Oliveira Peixoto,Aclimação,120,3,3,8,1250000
Sumaré São Paulo,SP,345,5,4,3,2550000
Brasilândia São Paulo,SP,80,2,1,5,300000
Lapa São Paulo,SP,135,2,2,2,863010
Rua Mário,Vila Romana,157,3,4,3,1350000
Vila do Encontro São Paulo,SP,180,4,2,3,724000
Jardim Europa São Paulo,SP,600,4,2,10,12000000
Campo Belo São Paulo,SP,330,3,4,2,1800000
Lar São Paulo São Paulo,SP,220,3,4,3,1200000
Rua Constantino Fraga,Vila Leopoldina,140,2,1,3,850000
Jardim Ernestina São Paulo,SP,200,3,5,3,1200000
Jardim Paulista São Paulo,SP,723,3,4,4,15000000
Cidade Jardim São Paulo,SP,1817,5,8,6,12000000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,750,4,5,4,3100000
Rua Mourato Coelho,Pinheiros,133,6,2,1,1390000
Rua Engenheiro Sá Rocha,Vila Ida,490,5,5,10,2400000
Rua Manduri,Jardim Paulistano,420,4,6,4,25000
Rua Tanabi,Água Branca,143,3,3,1,1200000
Santo Amaro São Paulo,SP,714,5,7,4,3400000
Rua Heitor Peixoto,Cambuci,180,5,2,4,991000
Rua Miquelino Gabriel Fraga,Vila Noca,252,4,4,4,4000
Rua Marquês de Maricá,Sacomã,100,5,3,5,1200000
Rua João Batista Leme da Silva,Vila Madalena,174,4,4,2,1219000
Vila Ida São Paulo,SP,496,4,6,6,4100000
Jabaquara São Paulo,SP,112,3,2,1,719000
Morumbi São Paulo,SP,320,3,5,4,1900000
Rua Aroaba,Vila Leopoldina,1045,2,1,1,10000000
Rua Sônia Ribeiro,Campo Belo,907,4,7,8,5800000
Rua Laplace,Brooklin,392,4,6,4,4280000
Rua Doutor Inácio Arruda,Vila Monumento,350,3,2,5,1272000
Jardim da Glória São Paulo,SP,338,5,6,4,3100000
Jardim Guedala São Paulo,SP,572,4,6,7,15000
Rua João de Santa Maria,Vila Brasilina,184,4,6,3,1280000
Rua da Paz,Alto da Boa Vista,595,4,7,4,3200000
Santo Amaro São Paulo,SP,180,3,2,2,990000
Jardim Europa São Paulo,SP,600,4,6,3,16500000
Vila Buenos Aires São Paulo,SP,150,3,1,2,350000
Jardim Jabaquara São Paulo,SP,240,3,4,6,795000
Jardim Morro Verde São Paulo,SP,127,3,3,3,650000
Jardim Panorama D'Oeste São Paulo,SP,769,5,6,10,21000
Rua Maria Celina,Cursino,180,3,2,2,797900
Praça Graciliano Ramos,Vila Mariana,236,4,2,3,1450000
Rua Mesquita,Vila Deodoro,260,3,3,3,1800000
Alto de Pinheiros São Paulo,SP,450,4,5,4,3500000
Rua Viaza,Jardim Aeroporto,110,2,1,2,545000
Alto de Pinheiros São Paulo,SP,440,5,5,6,3000000
Jardim Bonfiglioli São Paulo,SP,330,3,6,6,1700000
Alto de Pinheiros São Paulo,SP,492,3,5,6,4200000
Rua Miguel Teles Júnior,Cambuci,106,2,2,1,480000
Parque dos Príncipes São Paulo,SP,414,4,8,6,1400000
Rua Pirandello,Brooklin Paulista,643,4,7,8,4800000
Vila Sônia São Paulo,SP,220,3,3,4,1200000
Caxingui São Paulo,SP,540,4,8,4,1600000
Boaçava São Paulo,SP,423,4,4,5,3500000
Jardim Marajoara São Paulo,SP,467,4,7,5,2990000
Avenida Sanatório,Jardim Modelo,100,1,1,1,250000
Rua Ferdinando Laboriau,Pacaembu,450,4,3,4,2350000
Rua Coronel Diogo,Jardim da Glória,166,6,6,1,1060000
Rua Piraçununga,Vila Bertioga,63,2,1,1,298000
Rua Santos Dumont,Jardim Petrópolis,567,5,6,4,3490000
Vila Olímpia São Paulo,SP,140,3,4,2,950000
Jardim Paulista São Paulo,SP,346,4,6,6,25000
Planalto Paulista São Paulo,SP,742,3,9,8,23000
Avenida Diogo Gomes Carneiro,Jardim Rosa Maria,145,3,2,2,820000
Rua Ipiranga,Jardim Aeroporto,120,2,3,2,590000
Parque dos Príncipes São Paulo,SP,245,4,3,4,1090000
Rua Itaquera,Pacaembu,460,4,5,4,2800000
Rua Armando Petrella,Jardim Panorama,600,4,8,6,16000000
Praça El Salvador,Interlagos,420,3,4,6,1800000
Cidade Jardim São Paulo,SP,900,4,5,8,8400000
Rua Emboabas,Brooklin,404,3,3,4,1387000
Avenida República do Líbano,Ibirapuera,434,4,6,3,45000
Rua Brigadeiro Gama Barcelos,Parque Jabaquara,350,3,2,4,890000
Bela Aliança São Paulo,SP,400,3,2,8,1500000
Alto de Pinheiros São Paulo,SP,450,4,5,2,3500000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,390,4,1,3,2650000
Rua Oliveira Peixoto,Aclimação,120,3,3,8,1250000
Sumaré São Paulo,SP,345,5,4,3,2550000
Brasilândia São Paulo,SP,80,2,1,5,300000
Lapa São Paulo,SP,135,2,2,2,863010
Rua dos Povoadores,Vila Antonina,167,2,2,1,780000
Rua Maria Leonete da Silva Nóbrega,Vila Ida,270,4,6,5,1950000
Rua Amaro Leite,Socorro,312,3,2,2,760000
Vila Tramontano São Paulo,SP,550,4,4,5,10000
Rua Doutor Jesuíno de Abreu,Jardim Morumbi,285,4,5,6,1450000
Jardim Bélgica São Paulo,SP,175,3,4,2,1200000
Brooklin Paulista São Paulo,SP,140,3,3,2,1090000
Avenida Lasar Segall,Vila Celeste,460,3,4,2,772000
Rua Eusébio de Paula Marcondes,Rio Pequeno,120,2,1,2,350000
Rua Campina da Taborda,Planalto Paulista,350,3,4,2,1800000
Campo Belo São Paulo,SP,320,3,5,3,2200000
Rua Dona Balduína,Sumaré,320,4,7,3,3200000
Rua Alabastro,Aclimação,300,5,6,3,8000
Rua Doutor Paulo Queiroz,Jardim Nove de Julho,520,3,2,2,450000
Rua Ajuritiba,Jardim Oriental,90,2,1,6,500000
Santo Amaro São Paulo,SP,500,4,5,5,3700000
Rua Emboabas,Brooklin Paulista,300,4,4,3,1700000
Jardim Marajoara São Paulo,SP,450,3,5,6,2440000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,420,4,6,8,3500000
Rua Mário Jorge,Alto da Lapa,46,1,2,2,945000
Rua Filipe Cardoso,Cursino,340,3,4,4,2300000
Rua Mil Oitocentos e Vinte e Dois,Ipiranga,130,3,2,2,636000
Vila Cruzeiro São Paulo,SP,121,2,2,2,750000
Rua Froben,Vila Leopoldina,202,3,2,2,799000
Vila Santa Catarina São Paulo,SP,123,3,3,3,580000
Vila Madalena São Paulo,SP,250,4,5,3,2022000
Jardim Petrópolis São Paulo,SP,600,4,6,5,3980000
Rua Carlos Petit,Vila Mariana,200,3,4,3,1900000
Cidade Monções São Paulo,SP,215,3,2,1,2200000
Chácara Santo Antônio (Zona Sul) São Paulo,SP,200,3,2,4,5000
Rua Traipu,Pacaembu,280,5,2,1,2490000
Rua General Nestor Passos,Jardim Paraíso,132,3,4,3,800000
Jardim Europa São Paulo,SP,600,4,6,3,16500000
Vila Buenos Aires São Paulo,SP,150,3,1,2,350000
Jardim Jabaquara São Paulo,SP,240,3,4,6,795000
Jardim Morro Verde São Paulo,SP,127,3,3,3,650000
Jardim Panorama D'Oeste São Paulo,SP,769,5,6,10,21000
Brooklin Paulista São Paulo,SP,644,4,6,6,4800000
Rua das Begônias,Cidade Jardim,406,4,4,6,2800000
Jardim Leonor São Paulo,SP,594,5,6,6,2550000
Alameda Calicut,Chácara Santo Antônio (Zona Sul),450,4,6,8,3750000
Rua Abadiânia,Vila Guilhermina,183,3,3,2,635000
Avenida Itacira,Planalto Paulista,1000,5,7,14,6000000
Rua das Malvas,Cidade Jardim,368,3,4,6,4500000
Rua Iguatemi,Itaim Bibi,125,3,2,1,2500000
Rua Tordesilhas,Lapa,286,4,5,4,1700000
Rua Henri Dunant,Santo Amaro,140,3,3,2,1250000
Jardim Londrina São Paulo,SP,170,3,3,4,780000
Rua Jesuíno Bandeira,Vila Romana,195,2,2,3,600000
Rua Francisco Farel,Pinheiros,310,3,5,2,3064000
Rua Estefânia Mendes Pereira,Santana,180,3,4,1,1700000
Rua Leais Paulistanos,Ipiranga,226,3,1,1,800000
Rua Raul Adalberto de Campos,Vila Madalena,350,3,4,2,10000
Rua Dardanelos,Alto da Lapa,104,3,2,2,850000
Rua Heitor de Morais,Pacaembu,468,6,5,6,10000000
Jardim Cordeiro São Paulo,SP,941,4,7,14,7900000
Rua José Renato Pantoja,Vila Sonia,160,3,3,4,1100000
Vila Romana São Paulo,SP,329,4,4,3,1490000
Rua Matias Roxo,Vila Leopoldina,100,2,2,3,650000
Rua Democracia,Vila Brasilina,100,2,2,1,445000
Rua Tapirapés,Balneário Mar Paulista,250,4,4,10,900000
Vila Califórnia São Paulo,SP,60,1,1,3,300000
Sumaré São Paulo,SP,190,3,4,2,2000000
Travessa Noa,Noa,72,3,2,2,640000
Rua Mário Ruas Alves,Vila Anhangüera,240,3,4,2,630000
Rua Professor José Geraldo de Lima,Vila Tiradentes,150,3,3,2,650000
Rua Artur de Souza Marques,Vila Tramontano,850,5,8,6,9000000
Chácara Japonesa São Paulo,SP,115,3,3,2,1400000
Jardim Ponte Rasa São Paulo,SP,274,4,3,2,420000
Rua Manuel Pereira Guimarães,Granja Julieta,203,3,4,2,1580000
Jardim Everest São Paulo,SP,389,4,5,6,12000
Vila Bela São Paulo,SP,103,3,2,2,450000
Rua Nazaré Paulista,Vila Madalena,244,4,4,3,1800000
Rua Visconde de Porto Seguro,Santo Amaro,1296,5,12,8,5700000
Rua Bastos Pereira,Vila Nova Conceição,440,4,4,3,7000000
Jardim Marília São Paulo,SP,150,4,3,1,350000
Parque São Lucas São Paulo,SP,85,2,2,2,380000
Instituto de Previdência São Paulo,SP,300,4,4,3,1550000
Jardim Paulista São Paulo,SP,250,3,2,2,3650000
Pacaembu São Paulo,SP,427,4,4,8,3400000
Rua Augusto de Toledo,Cambuci,210,2,4,2,1200000
Brooklin Paulista São Paulo,SP,375,3,4,3,2190000
Rua Alvorada do Sul,Jardim Guedala,777,4,6,4,8500000
Rua Domingos Neto,Vila Marari,80,1,1,2,450000
Rua Doutor Queirós Guimarães,Jardim Guedala,411,4,6,6,2500000
Rua Zacarias de Góis,Brooklin,533,4,3,4,5500000
Jardim Cordeiro São Paulo,SP,800,4,6,4,3900000
Rua Teixeira Mendes,Liberdade,180,4,2,2,750000
Real Parque São Paulo,SP,533,4,5,6,2200000
Rua Alves Guimarães,Pinheiros,120,4,3,4,2600000
Rua Silveira Sampaio,Fazenda Morumbi,1000,5,7,6,50000
Sumaré São Paulo,SP,480,3,3,4,3800000
Rua Tenente Sotomano,Jardim Brasil (Zona Norte),66,3,2,2,450000
Santo Amaro São Paulo,SP,153,4,3,4,2100000
Avenida Quarto Centenário,Jardim Luzitânia,724,6,4,8,38000
Rua Angustura,Vila da Saúde,320,4,6,10,2200000
Rua Antônio Cubas,Vila Santa Edwiges,150,3,4,3,700000
Rua Tapes,Jardim Aeroporto,152,5,5,4,839000
Parque dos Príncipes São Paulo,SP,520,4,3,8,1700000
Rua Bandeirante Sampaio Soares,Vila Morumbi,484,5,6,6,6700000
Rua Manoel da Rocha Lins,Rio Bonito,250,5,4,2,559000
Rua Roque Giangrande Filho,Jardim Itapeva,100,2,1,2,600000
Rua Berlioz,Alto de Pinheiros,294,5,2,5,2200000
Rua Almirante Soares Dutra,Morumbi,370,4,4,4,1800000
Rua Alemanha,Jardim Europa,540,3,5,3,7699000
Jardim Guedala São Paulo,SP,545,4,6,4,8500000
Vila Brasílio Machado São Paulo,SP,300,3,4,4,958000
Rua São Mateus,Granja Julieta,160,3,4,4,1500000
Avenida Cupecê,Jardim Prudência,167,2,3,1,693000
Rua Hermínio Lemos,Cambuci,200,3,5,4,1250000
Rua Conselheiro João Alfredo,Mooca,290,3,4,2,640000
Rua Lomas Valentinas,Alto da Lapa,300,4,5,4,3300000
Avenida Moaci,Planalto Paulista,380,3,6,4,1690000
Rua Cássio de Almeida,Vila Guilherme,110,2,1,1,380000
Rua Eva Bloch,Bosque da Saúde,150,4,3,4,1600000
Rua Fonseca da Costa,Bosque da Saúde,321,4,2,3,980000
Campo Belo São Paulo,SP,140,3,3,2,1100000
Rua Vitorino Carmilo,Barra Funda,165,3,4,1,790000
Rua Franca do Imperador,Jardim Vera Cruz(Zona Leste),640,3,2,5,350000
Rua Ibaragui Nissui,Jardim Vila Mariana,270,4,6,4,2120000
Rua Benjamim Lima,Jabaquara,150,2,4,2,950000
Mooca São Paulo,SP,170,3,3,2,947000
Rua Jurupari,Jardim Oriental,179,3,4,4,630000
Rua Domingos Lopes,Campo Belo,200,2,2,2,980000
Rua Marechal Bitencourt,Jardim Paulista,1200,3,10,14,16000000
Rua Aleixo da Silva,Vila Almeida,132,3,3,4,830000
Rua São Bernardo,Cidade Mãe do Céu,129,3,2,5,850000
Granja Julieta São Paulo,SP,358,3,5,5,2500000
Rua Penápolis,Pacaembu,300,3,2,4,2900000
Rua Curucáia,Saúde,150,2,4,2,820000
Jardim Guedala São Paulo,SP,751,5,4,6,4000000
Jardim Patente São Paulo,SP,176,3,3,4,745000
Avenida Ramalho Ortigão,Vila Gumercindo,100,2,3,2,678000
Avenida Bagiru,Alto de Pinheiros,272,3,5,3,2200000
Rua Cruçaí,Vila São José (Ipiranga),123,3,1,2,820000
Vila Madalena São Paulo,SP,400,4,2,4,12000
Avenida Jandira,Indianópolis,140,3,4,2,790000
Chácara Monte Alegre São Paulo,SP,363,4,6,3,1700000
Rua Atlântica,Jardim América,380,4,5,10,17000
Parque Domingos Luís,Jardim São Paulo,300,2,3,5,2300000
Brooklin Paulista São Paulo,SP,120,2,2,1,670000
Vila Sônia São Paulo,SP,121,2,3,2,750000
Pinheiros São Paulo,SP,157,2,2,1,1250000
Rua Campo Grande,Vila Leopoldina,244,3,3,3,1600000
Jardim Paulistano São Paulo,SP,420,3,6,8,6500000
Rua das Jabuticabeiras,Cidade Jardim,857,4,4,5,8900000
Rua Guilherme Rehder,Parque Jabaquara,261,3,4,2,850000
Vila Prudente São Paulo,SP,180,2,2,1,750000
Vila Nova Conceição São Paulo,SP,150,3,3,2,1650000
Santana São Paulo,SP,340,7,6,4,1596000
Rua Duarte Monis Barreto,Jardim dos Estados,540,3,4,10,14000
Rua Pamplona,Jardim Paulista,156,4,3,2,2340000
Rua Conde de Porto Alegre,Campo Belo,500,3,6,4,3200000
Rua Jequitai,Indianópolis,138,4,5,2,1500000
Santo Amaro São Paulo,SP,350,5,4,4,2800000
Vila Sônia São Paulo,SP,535,3,4,4,2980000
Rua Livi,Vila Madalena,153,3,5,2,2200000
Jardim Paulistano São Paulo,SP,180,3,1,3,3000000
Jardim Colombo São Paulo,SP,232,3,3,4,890000
Brooklin Paulista São Paulo,SP,380,5,8,6,2870000
Cidade Jardim São Paulo,SP,700,4,4,5,20000
Jardim Guedala São Paulo,SP,545,4,1,10,8500000
Vila Progredior São Paulo,SP,680,6,6,4,2700000
Rua Visconde de Aguiar Toledo,Vila Congonhas,195,3,4,2,1750000
Rua Manuel Jacinto,Vila Morse,180,3,4,6,897000
Jardim Guedala São Paulo,SP,830,5,7,5,2900000
Rua Laiana,Boaçava,435,4,1,6,4500000
Rua Estuário,Chácara Monte Alegre,450,4,7,6,2350000
Rua Alasca,Jardim América,650,5,5,8,17500000
Rua Alvorada do Sul,Jardim Guedala,330,4,5,2,2900000
Jardim Europa São Paulo,SP,872,4,5,7,18000000
Avenida Boschetti,Vila Medeiros,115,2,3,2,405000
Vila Nova Conceição São Paulo,SP,344,4,4,3,6400000
Vila Anhangüera São Paulo,SP,124,3,1,2,650000
Rua Paulo Barian,Jardim Raposo Tavares,160,1,1,2,500000
Rua Joaquim Cândido de Azevedo Marques,Vila Morumbi,495,4,2,4,2500000
Rua Osvaldo Leite Ribeiro,Jardim Morumbi,653,4,5,4,1636700
Rua Manduri,Jardim Paulistano,455,4,4,3,3620000
Rua Antônio da Veiga,Vila do Castelo,137,2,2,2,565000
Vila Ida São Paulo,SP,490,5,5,6,2400000
Rua Caa,Açu,150,3,2,2,699000
Rua Vigário João de Pontes,Santo Amaro,503,4,3,4,4350000
Rua Bastos Tigre,Jardim Niteroi,112,2,1,6,500000
Rua Barão do Triunfo,Brooklin Paulista,220,3,4,2,1910000
Avenida Manoel dos Reis Araújo,Jardim Marajoara,356,4,5,4,1600000
Rua Geórgia,Brooklin Paulista,270,3,5,2,1500000
Rua Luís Arnoni,Vila Irmãos Arnoni,480,4,6,4,1500000
Rua Professor Sílvio de Sá e Silva,Parque São Domingos,296,5,5,3,999900
Cidade Jardim São Paulo,SP,644,4,6,4,28000
Rua das Grumixamas,Vila Parque Jabaquara,310,5,1,5,2800000
Rua Muniz de Sousa,Aclimação,480,3,4,4,2000000
Jardim Europa São Paulo,SP,240,3,5,2,2700000
Rua Wagih Assad Abdalla,Morumbi,678,4,7,4,12000
Rua Silveira Campos,Cambuci,180,3,1,2,900000
Jardim Monte Kemel São Paulo,SP,180,3,3,3,470000
Sumaré São Paulo,SP,138,3,3,1,950000
Campo Belo São Paulo,SP,160,4,4,2,1150000
Morumbi São Paulo,SP,615,4,5,6,3700000
Rua Oseas Gomes de Oliveira,Parque dos Príncipes,563,4,2,4,2000000
Rua Batinga,Vila Nova Mazzei,130,3,2,2,480000
Avenida Moaci,Planalto Paulista,380,3,3,4,1690000
Praça Barão Pinto Lima,Boaçava,520,4,6,8,4350000
Rua Dom Macário,Vila da Saúde,312,3,4,6,1400000
Avenida Iraí,Indianópolis,420,4,6,4,1990000
Ipiranga São Paulo,SP,218,3,6,2,980000
Rua Dona Balduína,Sumaré,450,4,5,3,3000000
Rua Princesa Isabel,Brooklin,140,3,3,2,1250000
Rua Zequinha de Abreu,Pacaembu,500,5,5,3,3200000
Rua Cristiano Viana,Cerqueira César,286,4,5,7,2999800
Rua Teixeira Pinto,Jardim Paulista,390,4,3,6,5500000
Rua Arthur Soter Lopes da Silva,Jardim Esmeralda,140,3,2,2,660000
Avenida Indianópolis,Indianópolis,330,4,4,3,2490000
Rua Manuel Marques Simões,Cidade Jardim,1300,5,7,6,4200000
Rua Keisuke Koza,Jardim Trussardi,180,2,3,4,500000
Vila Guedes São Paulo,SP,120,3,2,3,700000
Rua Professor Miguel Maurício da Rocha,Brooklin Paulista,420,4,5,5,2400000
Vila Congonhas São Paulo,SP,270,3,3,4,960000
Rua Pires de Oliveira,Chácara Santo Antônio (Zona Sul),441,5,9,6,15000
Avenida Manoel dos Reis Araújo,Jardim Marajoara,537,5,11,6,5000000
Rua Salvador de Edra,Saúde,230,4,4,2,980000
Rua João Gomes Barbosa,Jardim Alvorada (Zona Oeste),230,3,3,2,689000
Rua Jorge Tibiriçá,Vila Mariana,300,6,4,2,1600000
Vila Morumbi São Paulo,SP,736,4,5,6,25000
Rua Guararapes,Brooklin,150,4,3,2,5000
Rua Gaurama,Jardim Franca,450,7,8,6,2199997
Rua São Benedito,Santo Amaro,372,5,3,10,10000000
Rua Macambará,Cidade Monções,139,3,4,2,1440000
Jardim Vivan São Paulo,SP,130,2,3,2,360000
Brooklin Paulista São Paulo,SP,330,4,4,4,1400000
Praça Pinheiro da Cunha,Ipiranga,220,3,5,4,1272000
Lapa São Paulo,SP,283,4,5,4,1799010
Granja Julieta São Paulo,SP,191,4,4,5,1350000
Jardim Europa São Paulo,SP,520,4,6,4,45000
Jardim Vila Carrão São Paulo,SP,200,7,5,1,1200000
Rua Utinga,Chácara Flora,1500,5,8,4,25000000
Vila Nova Conceição São Paulo,SP,750,6,6,6,19990
Rua Conde D'Eu,Santo Amaro,200,3,2,4,1790000
Rua Descalvado,Sumaré,400,4,2,4,2400000
Rua Marapuama,Alto da Lapa,88,1,1,1,2790
Pinheiros São Paulo,SP,140,2,1,1,1900000
Rua Júlio Verne,Jardim Hípico,288,4,6,2,2190000
Rua Guaraiuva,Cidade Monções,90,2,1,1,880000
Rua Anatólia,Boaçava,615,4,8,8,5000000
